SpammerType,method,percent,acc_mean,acc_std,wacc_mean,wacc_std,tau_mean,tau_std
anti,GradEM,10,0.6958821773529053,0.0010726752738544,0.7559264600276947,0.0007708358928255,0.3698290569614978,0.002025235910058
anti,barp,10,0.6856355309486389,0.0005065277258249,0.7500043272972107,0.0005006884649213,0.3505043467488218,0.0009583193692255
anti,bt,10,0.6778289258480072,0.0004423995778827,0.7401268124580384,0.0005984673238283,0.3358409163080997,0.0008418537921725
anti,crowdbt,10,0.6997333872318268,0.0010775289853815,0.7599945741891861,0.0010400133235864,0.3771002238612966,0.0020343930135368
anti,factorbt,10,0.6953127920627594,0.0010717929281352,0.7431359648704529,0.00130212303353,0.3687559837578525,0.00202135855626
anti,pgem,10,0.6905628073215485,0.0011004386171654,0.7517638546228409,0.0012587123043055,0.3597861181694579,0.002077686695793
anti,rc,10,0.6500943899154663,0.0004617151809329,0.7104491412639617,0.0005046436534327,0.2839131441692074,0.0009048106503948
anti,GradEM,20,0.6938954353332519,0.001166473396848,0.7542890846729279,0.0009000770379984,0.3660780657274409,0.0022023366605925
anti,barp,20,0.6771848559379577,0.0009534631350765,0.736317616701126,0.0013829135223447,0.3345281887470835,0.0018001572418055
anti,bt,20,0.673886752128601,0.0010209580577055,0.7323222398757935,0.0016070674279729,0.3283947081621267,0.0019320483878011
anti,crowdbt,20,0.6985896015167237,0.0011181577283765,0.7591800898313522,0.0011133304598675,0.3749407355136407,0.0021111016579902
anti,factorbt,20,0.6910425186157226,0.0014749804366222,0.7369732081890106,0.0013591761952654,0.3606917338029264,0.0027848120552992
anti,pgem,20,0.6894416350126267,0.000715440720631,0.7502930372953415,0.0006345441075624,0.3576692125128007,0.0013507630782978
anti,rc,20,0.6520609378814697,0.0005773398085566,0.7128104627132416,0.0007309096039946,0.2874118255966774,0.0011083365882586
anti,GradEM,40,0.6890769958496094,0.0008870653504783,0.7499946475028991,0.0005789140157739,0.3569807683899647,0.0016747896275525
anti,barp,40,0.6518297493457794,0.0008456382156951,0.7016055464744568,0.0009648617644517,0.286677862834007,0.0015952052614522
anti,bt,40,0.6572852015495301,0.0005374044627389,0.7118427455425262,0.0006863985336931,0.2972290221268693,0.0010098086999389
anti,crowdbt,40,0.692660385966301,0.0012225438602886,0.7532010185718536,0.0013824353025831,0.3637462757499282,0.0023081848315741
anti,factorbt,40,0.6790302395820618,0.0014867346208874,0.7200985670089721,0.0021420540177459,0.3380142471653203,0.0028039823153663
anti,pgem,40,0.685303105711937,0.0008603926894097,0.7465331721305847,0.0009262195885502,0.3498556161447721,0.0016244244846015
anti,rc,40,0.6544514834880829,0.0008148334746736,0.7176319181919097,0.0011789579574614,0.2918620963185775,0.0015315501048495
anti,GradEM,60,0.6894363760948181,0.0009561736912673,0.7507455825805665,0.0006712271445445,0.357659301357101,0.0018052717817314
anti,barp,60,0.6242981374263763,0.0008888222980826,0.6659051179885864,0.0011533118347675,0.2346929842909319,0.0016763833162058
anti,bt,60,0.6349132299423218,0.0010375950653895,0.6830874502658844,0.0014506799368987,0.2547453684312841,0.00195383584057
anti,crowdbt,60,0.693250653743744,0.0012695910867906,0.754137191772461,0.001264458940494,0.3648607089687051,0.002397010009427
anti,factorbt,60,0.6517722070217132,0.0017018035810596,0.6961862981319428,0.0019456413701518,0.2865486652029199,0.0032130426283021
anti,pgem,60,0.6869135957956314,0.001218804945702,0.7486371856927871,0.0016498020183871,0.3528965621332393,0.0023010849455527
anti,rc,60,0.641670948266983,0.0009367852441088,0.7052094101905823,0.0017092021497029,0.2677340777978542,0.0017820812399941
anti,GradEM,80,0.6916724681854248,0.0008285832368593,0.7532436907291412,0.0008058271660146,0.3618810724868957,0.0015643999100092
anti,barp,80,0.5790827512741089,0.000687232302916,0.6086678326129913,0.0010333000877837,0.1493259779092647,0.0012986082686089
anti,bt,80,0.5905579566955567,0.0007567938800759,0.6253766179084778,0.0011798292771504,0.1709984388172795,0.0014324710003649
anti,crowdbt,80,0.6949672400951385,0.0011171987551411,0.7570198279619217,0.0013044774330659,0.3681016568825213,0.0021092922430844
anti,factorbt,80,0.6022492170333862,0.0014766706872144,0.6271524369716645,0.0026646557390197,0.1930483471247213,0.0027879906264774
anti,pgem,80,0.6884504896402359,0.0004354140145899,0.7504236125946044,0.0004386454418742,0.355798244020035,0.0008221566245283
anti,rc,80,0.6091765344142914,0.000604511452182,0.6569777250289917,0.0013132134564135,0.2064479439762895,0.0011414897512944
equal,GradEM,10,0.6973187148571014,0.002387170410487,0.7570982158184052,0.0020332806794242,0.3725412828385623,0.0045070073402156
equal,barp,10,0.6858848869800568,0.0033254391402062,0.75120307803154,0.0032338029055481,0.3509684513661658,0.0062732857790285
equal,bt,10,0.6782458603382111,0.0046800079471793,0.7405323207378387,0.004933554604061,0.3366682338390048,0.0088190084781568
equal,crowdbt,10,0.7029936301708222,0.0018516893139708,0.7631219744682312,0.0019027125438377,0.3832556233482817,0.0034960210110122
equal,factorbt,10,0.6943295300006866,0.003726579739596,0.7418742895126342,0.005457742272216,0.3668976420641506,0.0070358446015485
equal,pgem,10,0.6929692989587783,0.0027779759393204,0.7531353276968002,0.0028880253893363,0.3643296205094462,0.0052447193646848
equal,rc,10,0.652162903547287,0.0014645847945635,0.7129169166088104,0.0015188971006085,0.2885695227380337,0.00263635047696
equal,GradEM,20,0.6965403735637665,0.0027005342301454,0.7564473927021027,0.0026377604541927,0.3710717634069271,0.0050986451316519
equal,barp,20,0.6832884132862092,0.0058736846918522,0.7465064227581024,0.006652831641005,0.3460617661323454,0.0110840881573719
equal,bt,20,0.6744742870330811,0.0069159495065678,0.7358051180839539,0.0070162077943257,0.3295514264231218,0.0130744990594779
equal,crowdbt,20,0.7013059163093567,0.0031724125788622,0.7614724999666214,0.0035244677503607,0.3800691867908141,0.0059895773153486
equal,factorbt,20,0.6892799079418183,0.0032994641606097,0.737718665599823,0.0064284676755622,0.3573638726775893,0.0062294671645467
equal,pgem,20,0.6924006378650666,0.0034518997202148,0.752556968331337,0.003536291857926,0.3632560874125566,0.0065172463632582
equal,rc,20,0.6524960339069367,0.0032451914361629,0.7138604342937469,0.0039103851903948,0.2884277278524251,0.0061092928832994
equal,GradEM,40,0.6945152878761292,0.0044340008624491,0.7546721994876862,0.0044785902902329,0.3672483444966032,0.0083714704302701
equal,barp,40,0.6731780767440796,0.0084053590832086,0.7321653246879578,0.0094506037507669,0.3269666016778994,0.0158684015625753
equal,bt,40,0.6684474527835846,0.0077747905757867,0.7279985070228576,0.0080266308794509,0.3181796952294592,0.0146580349033306
equal,crowdbt,40,0.7008969569206238,0.0039919953877397,0.7614366817474365,0.0044282689433848,0.3792970696419744,0.0075369576112119
equal,factorbt,40,0.6860595405101776,0.0062169623839724,0.7314995467662812,0.0084535362702072,0.3512837598540926,0.0117377448821376
equal,pgem,40,0.6896972453594208,0.0037498926765123,0.7499038183689117,0.0034451896902424,0.3581519204137248,0.0070796716833355
equal,rc,40,0.652853399515152,0.003308348756985,0.7140038311481476,0.0057677751646712,0.288846511414591,0.006211491325283
equal,GradEM,60,0.6939156293869019,0.0044777527554616,0.7544467628002167,0.0047450124248586,0.3661161855570555,0.0084540758649874
